date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2015-12-14,9845.07,10118.9,10119.68,9829.34,118085396.0,205541261312.0,2.92,1.74,172.78,1.19
2015-12-15,10137.46,10278.47,10312.42,10136.87,131733827.0,237234839552.0,1.73,1.58,159.57,1.32
2015-12-16,10319.56,10374.23,10438.45,10314.86,141451443.0,256712355840.0,1.2,0.93,95.76,1.42
2015-12-17,10436.8,10679.96,10680.39,10436.8,186572134.0,333940240384.0,2.35,2.95,305.73,1.88
2015-12-18,10678.38,10629.97,10721.66,10562.68,173091610.0,316675108864.0,1.49,-0.47,-49.99,1.74
2015-12-21,10596.41,10699.61,10712.04,10579.92,159785362.0,278292262912.0,1.24,0.66,69.64,1.61
2015-12-22,10724.02,10809.24,10809.85,10652.01,153990999.0,266174291968.0,1.48,1.02,109.63,1.55
2015-12-23,10817.28,10638.16,10828.97,10613.43,169423350.0,299599618048.0,1.99,-1.58,-171.08,1.7
2015-12-24,10600.47,10633.19,10662.43,10413.92,129950766.0,230327783424.0,2.34,-0.05,-4.97,1.31
2015-12-25,10651.66,10726.99,10760.15,10645.44,123800666.0,219758198784.0,1.08,0.88,93.8,1.24
2015-12-28,10765.91,10515.36,10859.83,10515.36,169848141.0,298902507520.0,3.21,-1.97,-211.63,1.71
2015-12-29,10499.5,10653.71,10654.42,10406.06,129304325.0,228954329088.0,2.36,1.32,138.35,1.3
2015-12-30,10678.11,10806.7,10813.02,10661.28,139096428.0,256185892864.0,1.42,1.44,152.99,1.4
2015-12-31,10810.35,10614.38,10839.05,10614.38,129979474.0,240733024256.0,2.08,-1.78,-192.32,1.31
2016-01-04,10598.27,9694.84,10602.65,9694.63,117304143.0,196597043200.0,8.55,-8.66,-919.54,1.18
2016-01-05,9140.67,9452.04,9680.16,9084.87,168628045.0,265746817024.0,6.14,-2.5,-242.8,1.69
2016-01-06,9511.73,9709.57,9710.12,9404.07,139630139.0,227283116032.0,3.24,2.72,257.53,1.4
2016-01-07,9511.14,8856.49,9511.14,8850.15,40495428.0,57536623616.0,6.81,-8.79,-853.08,0.41
2016-01-08,9049.77,8876.25,9141.57,8404.51,156924298.0,230862790656.0,8.32,0.22,19.76,1.58
2016-01-11,8651.33,8205.12,8754.36,8203.43,143568814.0,194711633920.0,6.21,-7.56,-671.13,1.44
2016-01-12,8164.34,8187.96,8304.14,7968.75,121171241.0,169839431680.0,4.09,-0.21,-17.16,1.22
2016-01-13,8230.08,7836.12,8311.73,7836.06,113177531.0,158494625792.0,5.81,-4.3,-351.84,1.14
2016-01-14,7548.03,8157.74,8174.31,7534.04,122934077.0,166877339648.0,8.17,4.1,321.62,1.24
2016-01-15,8092.87,7868.17,8202.34,7813.26,119230953.0,171047653376.0,4.77,-3.55,-289.57,1.2
2016-01-18,7689.66,8060.88,8158.56,7685.47,106505828.0,154134667264.0,6.01,2.45,192.71,1.07
2016-01-19,8041.86,8388.38,8400.6,8018.64,127304225.0,185107947520.0,4.74,4.06,327.5,1.28
2016-01-20,8328.72,8321.39,8468.79,8244.73,129081047.0,187428782080.0,2.67,-0.8,-66.99,1.3
2016-01-21,8167.95,7944.57,8410.16,7944.57,120472896.0,175594987520.0,5.6,-4.53,-376.82,1.21
2016-01-22,8036.32,8074.29,8115.4,7787.62,101116759.0,145965105152.0,4.13,1.63,129.72,1.02
2016-01-25,8153.35,8180.5,8256.16,8076.4,96248174.0,140599115776.0,2.23,1.32,106.21,0.97
2016-01-26,8071.36,7545.54,8093.24,7526.59,120673951.0,165581389824.0,6.93,-7.76,-634.96,1.21
2016-01-27,7557.46,7466.75,7585.83,7047.79,124251576.0,159481585664.0,7.13,-1.04,-78.79,1.25
2016-01-28,7344.03,7100.9,7438.69,7067.55,96362166.0,123800379392.0,4.97,-4.9,-365.85,0.97
2016-01-29,7071.75,7385.76,7459.37,7037.83,102285179.0,131355164672.0,5.94,4.01,284.86,1.03
2016-02-01,7358.75,7292.61,7420.48,7163.91,86843686.0,115888111616.0,3.47,-1.26,-93.15,0.87
2016-02-02,7296.22,7576.07,7600.08,7295.8,97978432.0,132941492224.0,4.17,3.89,283.46,0.98
2016-02-03,7480.3,7630.46,7665.65,7428.9,94483564.0,125642739712.0,3.12,0.72,54.39,0.95
2016-02-04,7661.65,7807.4,7839.28,7661.65,108295716.0,147961155584.0,2.33,2.32,176.94,1.09
2016-02-05,7828.61,7718.71,7856.74,7716.21,86297861.0,116833714176.0,1.8,-1.14,-88.69,0.87
2016-02-15,7434.28,7726.37,7772.49,7432.4,78794683.0,104873394176.0,4.41,0.1,7.66,0.79
2016-02-16,7767.03,8069.59,8088.71,7767.03,115565924.0,160075993088.0,4.16,4.44,343.22,1.16
2016-02-17,8060.91,8202.15,8214.94,8010.82,129697951.0,186376765440.0,2.53,1.64,132.56,1.3
2016-02-18,8256.95,8176.14,8282.91,8155.08,134063478.0,193574637568.0,1.56,-0.32,-26.01,1.35
2016-02-19,8146.06,8239.26,8289.21,8133.5,112787021.0,168719499264.0,1.9,0.77,63.12,1.13
2016-02-22,8350.29,8407.85,8407.88,8303.21,133158052.0,193573548032.0,1.27,2.05,168.59,1.34
2016-02-23,8414.67,8357.36,8437.16,8230.98,130530936.0,192375009280.0,2.45,-0.6,-50.49,1.31
2016-02-24,8316.83,8364.66,8399.43,8161.0,136094746.0,196294406144.0,2.85,0.09,7.3,1.37
2016-02-25,8340.46,7702.59,8340.59,7673.22,157436163.0,214208675840.0,7.98,-7.92,-662.07,1.58
2016-02-26,7750.74,7666.82,7799.3,7487.27,121574172.0,158808006656.0,4.05,-0.46,-35.77,1.22
2016-02-29,7614.16,7183.68,7614.16,7113.07,115344402.0,138384515072.0,6.54,-6.3,-483.14,1.16
2016-03-01,7183.11,7345.09,7402.31,7038.61,115563407.0,144811421696.0,5.06,2.25,161.41,1.16
2016-03-02,7324.49,7711.89,7724.3,7323.37,147164818.0,183328415744.0,5.46,4.99,366.8,1.48
2016-03-03,7711.3,7727.16,7875.95,7693.9,157062423.0,200406261760.0,2.36,0.2,15.27,1.58
2016-03-04,7684.92,7418.8,7735.55,7321.56,141152404.0,176786644992.0,5.36,-3.99,-308.36,1.42
2016-03-07,7494.04,7600.44,7670.96,7494.04,110951409.0,140232208384.0,2.38,2.45,181.64,1.12
2016-03-08,7585.86,7670.69,7670.99,7276.67,131822525.0,165230014464.0,5.19,0.92,70.25,1.32
2016-03-09,7486.95,7500.17,7634.0,7430.43,101761866.0,131949670400.0,2.65,-2.22,-170.52,1.02
